Nama UKM,Status Perekrutan,Informasi Lanjut
BEM,Closed Recruitment,Mohon maaf UKM ini sedang tidak menerima perekrutan!
BPM,Open Recruitment,https://www.instagram.com/bpmilkomunej/profilecard/?igsh=Njl3c3ZmbzYwc2x2
O-MACO,Open Recruitment,https://www.instagram.com/ukmomaco/profilecard/?igsh=MXI5NHFjYjdiM2dveA==
HIMATIF,Open Recruitment,https://www.instagram.com/himatifunej/profilecard/?igsh=ajJ4M2F6aG1iMDk2
AL-Azhar,Closed Recruitment,Mohon maaf UKM ini sedang tidak menerima perekrutan!
